0	0	0	0	0	0
0.0220893	0.0220893	0.0220893	0.0220893	0.0220893	0.0220893
0.0872665	0.0872665	0.0872665	0.0872665	0.0872665	0.0872665
0.165806	0.165806	0.165806	0.165806	0.165806	0.165806
0.244346	0.244346	0.244346	0.244346	0.244346	0.244346
0.322886	0.322886	0.322886	0.322886	0.322886	0.322886
0.391608	0.391608	0.391608	0.391608	0.391608	0.391608
0.418606	0.418606	0.418606	0.418606	0.418606	0.418606
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.418879	0.418879	0.418879	0.418879	0.418879	0.418879
0.416425	0.416425	0.416425	0.416425	0.416425	0.416425
0.379609	0.379609	0.379609	0.379609	0.379609	0.379609
0.305433	0.305433	0.305433	0.305433	0.305433	0.305433
0.226893	0.226893	0.226893	0.226893	0.226893	0.226893
0.148353	0.148353	0.148353	0.148353	0.148353	0.148353
0.0698132	0.0698132	0.0698132	0.0698132	0.0698132	0.0698132
0.0133627	0.0133627	0.0133627	0.0133627	0.0133627	0.0133627
0	0	0	0	0	0
